id,name,intelligence,strength,speed,durability,full-name,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg
20,Amazo,63.0,100.0,83.0,100.0,Unknown,"Professor Ivos Amazing Android, Timazo, Humazo, Hourmazo",Unknown,"Brave and the Bold #30 (July, 1960)",1960-05-03,DC Comics,bad,Male,Android,"[""8'5"", '257 cm']","['385 lb', '173 kg']",red,unknown,Unknown,Unknown,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)",257.0,385.0
25,Angel Dust,38.0,55.0,23.0,42.0,Christina,"Angel, Dusty",Unknown,Morlocks #1,2002-06-05,Marvel Comics,good,Female,Mutant,"[""5'5"", '165 cm']","['126 lb', '57 kg']",yellow,black,Unknown,"Chicago, Illinois",Unknown,Unknown,165.0,126.0
28,Animal Man,56.0,48.0,47.0,85.0,Bernhard Baker,The Human Zoo; A-Man; The Man with Animal Powers,Unknown,"Strange Adventures #180 (September, 1965)",1965-07-29,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['185 lb', '83 kg']",blue,blond,Unknown,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",183.0,185.0
29,Annihilus,75.0,80.0,47.0,56.0,Annihilus,"The Living Death That Walks, Lord of the Negative Zone","Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),1968-11-01,Marvel Comics,bad,Male,Unknown,"[""5'11"", '180 cm']","['200 lb', '90 kg']",green,no hair,"Conqueror, scavenger",Unknown,Sometime ally of Blastaar,Annihilus is a series of clonal scions,180.0,200.0
31,Ant-Man II,75.0,18.0,17.0,40.0,Scott Lang,"Myrmidon, Scott Edward Harris Lang","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",1979-01-16,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",blue,blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",183.0,190.0
35,Apocalypse,100.0,100.0,33.0,100.0,En Sabah Nur,"The Eternal One, the High Lord, Set, Huitxilopochti, Sauru, Kali-Ma","Akkaba, Egypt","X-Factor #5 (June, 1986)",1986-02-04,Marvel Comics,bad,Male,Mutant,"[""7'0"", '213 cm']","['300 lb', '135 kg']",red,black,Student; formerly Conqueror; Scientist,"Celestial Ship, mobile","Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)",213.0,300.0
37,Aqualad,63.0,44.0,42.0,75.0,Garth,Unknown,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",1959-12-29,DC Comics,good,Male,Atlantean,"[""5'10"", '178 cm']","['235 lb', '106 kg']",blue,black,"Adventurer; Magician, former Sidekick",Atlantis,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",178.0,235.0
38,Aquaman,81.0,85.0,79.0,80.0,Orin,"Dweller in the Depths, Swimmer, Waterbearer, Mental Man, Aquaboy, Water Wraith",Atlantis,"More Fun Comics #73 (November, 1941)",1941-09-25,DC Comics,good,Male,Atlantean,"[""6'1"", '185 cm']","['325 lb', '146 kg']",blue,blond,"Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",185.0,325.0
39,Arachne,50.0,48.0,50.0,70.0,Julia Carpenter,"Spider-Woman, Madame Web","Los Angeles, California",Marvel Super Heroes Secret Wars #6,1984-06-12,Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['140 lb', '63 kg']",blue,blond,"Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",175.0,140.0
41,Arclight,38.0,63.0,23.0,42.0,Philippa Sontag,Unknown,Vietnam,Uncanny X-Men #210 (1986),1986-08-05,Marvel Comics,bad,Female,Unknown,"[""5'8"", '173 cm']","['126 lb', '57 kg']",violet,purple,Terrorist,Unknown,"Marauders formerly, 198, Femizons",Unknown,173.0,126.0
42,Ardina,63.0,100.0,100.0,80.0,Ardina,Unknown,Unknown,The Order #4,2007-11-21,Marvel Comics,good,Female,Alien,"[""6'4"", '193 cm']","['218 lb', '98 kg']",white,orange,Unknown,Unknown,Unknown,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",193.0,218.0
43,Ares,75.0,82.0,35.0,80.0,Unknown,"God of War, Mister Talon, Mars, Warhawk",Unknown,Thor #129,1966-04-05,Marvel Comics,good,Male,Unknown,"[""6'1"", '185 cm']","['600 lb', '270 kg']",brown,brown,Unknown,"Avengers Tower, formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",185.0,600.0
44,Ariel,50.0,10.0,12.0,14.0,Ariel,Unknown,Unknown,Fallen Angels #1 (1987),1987-04-07,Marvel Comics,good,Female,Unknown,"[""5'5"", '165 cm']","['130 lb', '59 kg']",purple,pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",Unknown,"X-Men, Formerly Fallen Angels",Unknown,165.0,130.0
45,Armor,50.0,63.0,12.0,80.0,Hisako Ichiki,"X-Girl, Kid",Unknown,Astonishing X-Men #4 (2004),2004-09-08,Marvel Comics,good,Female,Unknown,"[""5'4"", '163 cm']","['112 lb', '50 kg']",black,black,"Adventurer, student",Unknown,"X-Men, formerly: Xavier Institute Student Body, New X-Men",Unknown,163.0,112.0
49,Atlas,63.0,100.0,42.0,100.0,Unknown,"Atlas the Great, Atlas the Untamed",Crystal Mountain,Action Comics #121,1948-04-25,DC Comics,bad,Male,God / Eternal,"[""6'6"", '198 cm']","['280 lb', '126 kg']",blue,brown,Unknown,"Formely; Hyssa, Metropolis",Unknown,Unknown,198.0,280.0
52,Atom Girl,38.0,10.0,23.0,28.0,Salu Digby,Shrinking Violet,Unknown,Teen Titans/Legion Special #1 (2004),2004-12-15,DC Comics,good,Female,Unknown,"[""5'6"", '168 cm']","['120 lb', '54 kg']",black,black,Unknown,"United Planets, 31st century",Legion of Super-Heroes,Unknown,168.0,120.0
53,Atom II,88.0,10.0,33.0,45.0,Ray Palmer,"The Mighty Mite, the Tiny Titan, the Worlds Smallest Hero",Unknown,Showcase #34,1961-06-23,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['180 lb', '81 kg']",brown,auburn,Physics Professor,Ivy Town,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",183.0,180.0
56,Aurora,63.0,10.0,96.0,60.0,Jeanne-Marie Beaubier,Sister Beaubier,"Montreal, Quebec, Canada",X-Men #121 (1979),1979-05-15,Marvel Comics,good,Female,Mutant,"[""5'11"", '180 cm']","['140 lb', '63 kg']",blue,black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",180.0,140.0
57,Azazel,50.0,11.0,47.0,95.0,Unknown,"Semihazah, Duma, Keriel, Mastema, Beliar, Gadreel, Beelzebub, Satan","Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),2003-05-28,Marvel Comics,bad,Male,Neyaphem,"[""6'0"", '183 cm']","['149 lb', '67 kg']",yellow,black,Leader of the Neyaphem,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",Unknown,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",183.0,149.0
60,Bane,88.0,38.0,23.0,56.0,Unknown,Unknown,Unknown,"Batman: Vengeance of Bane #1 (January, 1993)",1993-01-01,DC Comics,bad,Male,Human,"[""6'8"", '203 cm']","['400 lb', '180 kg']",unknown,unknown,Unknown,Santa Prisca,"Suicide Squad, The Secret Society of Super Villains",King Snake (father),203.0,400.0
61,Banshee,50.0,10.0,58.0,40.0,Sean Cassidy,Death,"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",1966-10-11,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['170 lb', '77 kg']",green,strawberry blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",183.0,170.0
62,Bantam,25.0,53.0,23.0,54.0,Roberto Velasquez,Unknown,Unknown,"Civil War: Front Line #3 (September, 2006)",2006-07-12,Marvel Comics,good,Male,Unknown,"[""5'5"", '165 cm']","['119 lb', '54 kg']",brown,black,"Adventurer, boxing trainer, former boxer",Unknown,"Captain America, Pro-Registration forces",Unknown,165.0,119.0
66,Batgirl IV,69.0,12.0,27.0,56.0,Cassandra Cain,"Kasumi, various mundane persona,",League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,1999-08-19,DC Comics,good,Female,Human,"[""5'5"", '165 cm']","['115 lb', '52 kg']",green,black,Unknown,Gotham City; Bl�dhaven; Tibet; New York City,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",165.0,115.0
70,Batman,100.0,26.0,27.0,50.0,Bruce Wayne,"Insider, Matches Malone","Crest Hill, Bristol Township; Gotham County",Detective Comics #27,1939-05-30,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['210 lb', '95 kg']",blue,black,Businessman,"Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower","Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family",188.0,210.0
72,Battlestar,50.0,53.0,35.0,74.0,Lemar Hoskins,Bucky,"Chicago, Illinois",Captain America #323 (1986); (as Bucky),1986-11-19,Marvel Comics,good,Male,Unknown,"[""6'6"", '198 cm']","['295 lb', '133 kg']",brown,black,"Former wrestler, federal operative",Unknown,"Formerly Wild Pack, Bold Urban Commandos (Buckies), former partner of U.S.Agent, operative of the Commission on Superhuman Activities",Unknown,198.0,295.0
75,Beast,94.0,48.0,38.0,60.0,Henry Philip McCoy,"Dr. McCoy, Hanko, Kreature, Mutate #666, Magilla Gorilla, Golden Armed Boy","Dunfee, Illinois",X-Men Vol.1 #1,1963-07-02,Marvel Comics,good,Male,Mutant,"[""5'11"", '180 cm']","['402 lb', '181 kg']",blue,blue,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler","Xavier Institute, Salem Center, Westchester County, New York","Secret Avengers, S.W.O.R.D.; formerly X-Men (founding member); X-Club (founding member); Initiative; 198; X-Treme X-Men; Acolytes (while mind-controlled); Queen's Vengeance; X-Factor/X-Terminators (founding member); Rejects; Defenders, Avengers","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)",180.0,402.0
76,Beast Boy,50.0,28.0,50.0,70.0,Garfield Mark Logan,"Changeling, Beast-Brat, Green Jeans, Salad-head, Sprout, Tork, Craig Logan",Unknown,"Doom Patrol #99 (November, 1965)",1965-09-02,DC Comics,good,Male,Human,"[""5'8"", '173 cm']","['150 lb', '68 kg']",green,green,"Adventurer, Struggling Actor","Prague; formerly Hollywood, California; formerly Manhattan, New York","Teen Titans; former member of the original Doom Patrol, Titans West","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton/Mento (adoptive father), Rita Farr/Elasti-Girl (adoptive mother), Matt Logan (cousin)",173.0,150.0
79,Beta Ray Bill,63.0,80.0,35.0,95.0,Beta Ray Bill (translation of his Korbinite name),"Beta Ray Thor, Simon Walters",Burning Galaxy,Thor #337,1983-09-27,Marvel Comics,good,Male,Unknown,"[""6'7"", '201 cm']","['480 lb', '216 kg']",unknown,no hair,Guardian of the Korbinite race,"currently New York City, formerly Asgard, formerly the fleet of Korbinite ships.","ally of the Asgardians, Thor Corps, Star Masters",Unknown,201.0,480.0
81,Big Barda,88.0,100.0,79.0,100.0,Barda Free,"Barda, the Strongest Woman in the World",Unknown,Mister Miracle (Volume 1) #4,1971-06-15,DC Comics,bad,Female,New God,"[""6'2"", '188 cm']","['300 lb', '135 kg']",blue,black,Unknown,"Gotham City, New Genesis, formerly Apokolips","Apocalypse, New Gods, Birds of Prey, formerly Female Furies, formerly Justice League of America","Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)",188.0,300.0
83,Big Man,75.0,12.0,23.0,28.0,Frederick Foswell,Patch,Unknown,Amazing Spider-Man #10 (1964),1964-03-10,Marvel Comics,bad,Male,Unknown,"[""5'5"", '165 cm']","['157 lb', '71 kg']",blue,brown,"Reporter, professional criminal",Unknown,"Daily Bugle, the Enforcers","Janice Foswell (daughter), unnamed wife",165.0,157.0
92,Bishop,63.0,14.0,23.0,75.0,Lucas Bishop,Archbishop,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,"Uncanny X-Men #282 (November, 1991)",1991-09-03,Marvel Comics,good,Male,Mutant,"[""6'6"", '198 cm']","['275 lb', '124 kg']",brown,no hair,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)","Formerly Xavier Institute for Higher Learning, Salem Center, Westchester County, New York","""Clean City""; formerly Stryfe; X-Men; X.S.E. (Storm's team); X-Treme X-Men; X.S.E. (Hecate'e's team); The Twelve","Burnum Bishop (father, deceased), Kadee Bishop (mother, deceased), Shard (sister, deceased), unnamed grandmother, Gateway (great-grandfather), Aliyah Bishop (alternate reality daughter);",198.0,275.0
93,Bizarro,38.0,95.0,100.0,100.0,Bizarro,Unknown,Unknown,Superboy Vol. 1 #68 (1958),1958-10-02,DC Comics,neutral,Male,Bizarro,"[""6'3"", '191 cm']","['345 lb', '155 kg']",black,black,Unknown,Bizarro World,Superman Revenge Squad; Bizarros of Bizarro World; former associate of the Secret Society of Super-Villains; Joker League of Anarchy; former partner of Batzarro,"Bizarro-Lois No. 1 (wife, Pre-Crisis only), Bizarro, Jr. (son, Pre-Crisis only), Bizarro-Lois, Jr. (daughter, Pre-Crisis only)",191.0,345.0
95,Black Adam,88.0,100.0,92.0,100.0,Teth-Adam,"Hassan Bari, Theo Adam, Mighty Adam, Khem-Adam","Kahndaq, Egypt","Marvel Family #1 (December, 1945)",1945-11-21,DC Comics,bad,Male,Unknown,"[""6'3"", '191 cm']","['250 lb', '113 kg']",brown,black,Unknown,Mobile; Formerly Kahndaq; Fawcett City; New York City,"None; Formerly the Black Marvel Family, Society of Villains, Injustice Society, Justice Society of America","Shiruta (wife, deceased), Gon and Hurut (sons, deceased) Theo Adam (descendant, currently in control of his body), Sarah Primm (descendant, Theo's sister), Adrianna Tomaz (wife. deceased), Amon Tomaz (brother-in-law, deceased)",191.0,250.0
96,Black Bolt,75.0,67.0,100.0,84.0,Blackagar Boltagon,Unknown,"Attilan, Atlantic Ocean","Fantastic Four #45 (December, 1965)",1965-09-07,Marvel Comics,good,Male,Inhuman,"[""6'2"", '188 cm']","['210 lb', '95 kg']",blue,black,King of the Inhumans,"Attilan, Blue Area of the Moon",Universal Inhumans; Inhuman Royal Family; formerly Illuminati,"Medusa (wife and first cousin), Ahura (son), Agon (father, deceased), Rynda(mother, deceased), Maximus (brother), Crystal (sister-in-law), Gorgon, Karnak, Triton (cousins)",188.0,210.0
98,Black Canary,63.0,8.0,33.0,15.0,Dinah Drake Lance,Unknown,Unknown,"Flash Comics #86 (August, 1947)",1947-06-24,DC Comics,good,Female,Human,"[""5'5"", '165 cm']","['128 lb', '58 kg']",blue,blond,"Florist, former private investigator","Gotham City, Park City",Justice Society of America,"Richard Drake (father), Lawrence Lance (husband), Dinah Laurel Lance (Black Canary, daughter), Oliver Queen (Green Arrow, son-in-law)",165.0,128.0
99,Black Cat,75.0,16.0,33.0,10.0,Felicia Hardy,Felicity Harmon,"Queens, New York","Amazing Spider-Man #194 (July, 1979)",1979-05-08,Marvel Comics,good,Female,Human,"[""5'10"", '178 cm']","['120 lb', '54 kg']",green,blond,"Cat burglar; Private investigator, founder of Cat's Eye Investigations.",Unknown,Formerly Heroes for Hire,"Walter Hardy (father, deceased), Lydia Hardy (mother)",178.0,120.0
102,Black Knight III,63.0,10.0,8.0,70.0,Dane Whitman,"The Pendragon, Gann Josin, Eobar Garrington","Gloucester, Massachusetts",Avengers #47 (1967),1967-08-01,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",brown,brown,"Adventurer, scientist; former crusader",Unknown,"MI-13; formerly Avengers, Masters of Evil (as a mole), Excalibur, Heroes for Hire, Ultraforce (in the Ultraverse), Defenders, Knights of Wundagore, Queen's Vengeance, King Richard's Army","Nathan Garrett (Black Knight II, uncle, deceased); Sir Percy of Scandia (Black Knight), Sir Raston, Eobar Garrington (Black Knights of past eras, ancestors, deceased); Lady Rosamund, Edward, Geoffrey (ancestral relations, presumed deceased); Dafydd ap Iowerth, Arthur Pendragon, Mordred the Evil, Morgan Le Fay (distant ancestral relations)",183.0,190.0
103,Black Lightning,50.0,11.0,53.0,28.0,Jefferson Pierce,Unknown,Unknown,Black Lightning #1 (April 1977),1977-02-01,DC Comics,good,Male,Unknown,"[""6'1"", '185 cm']","['200 lb', '90 kg']",brown,no hair,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.","Chicago, Illinois; Metropolis, The Hall & The JLA Watchtower","Justice League of America (current), formerly Presidential Cabinet, The Outsiders (sporadically), Batman's Brother Eye attack group","Unnamed father (deceased), Lynn Stewart (ex-wife), Joanna Pierce (niece, deceased), Anissa Pierce (Thunder, daughter), Jennifer Pierce (Lightning, daughter)",185.0,200.0
104,Black Mamba,75.0,10.0,35.0,42.0,Tanya Sealy,Tanya Sweet,"Chicago, Illinois",Marvel Two-In-One #64,1980-06-10,Marvel Comics,bad,Female,Unknown,"[""5'7"", '170 cm']","['115 lb', '52 kg']",green,black,"Mercenary, professional criminal, former call girl","Mobile, formerly Serpent Citadel","Serpent Squad, Serpent Society, BAD Girls",Unknown,170.0,115.0
105,Black Manta,75.0,28.0,50.0,60.0,David,"Devil Ray, Scourge of the Seven Seas, Yellow Lantern",Unknown,"Aquaman #35 (August, 1967)",1967-06-27,DC Comics,bad,Male,Human,"[""6'2"", '188 cm']","['205 lb', '92 kg']",black,no hair,Unknown,Unknown,Unknown,Unknown,188.0,205.0
106,Black Panther,88.0,16.0,30.0,60.0,T'Challa,"Mr. Okonkwo, The Man Without Fear, Luke Charles, Black Leopard, the Client, Coal Tiger, has impersonated Daredevil and others on occasion","Wakanda, Africa",Fantastic Four Vol. 1 #52 (1966),1966-07-12,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['200 lb', '90 kg']",brown,black,"King and Chieftain of Wakanda, scientist; former school teacher","Wakanda, Mobile","Formerly Fantastic Four, Secret Avengers, Avengers, Pendragons, Queen's Vengeance, former Fantastic Force financier","Bashenga (paternal ancestor, deceased), Azzuri the Wise (paternal grandfather, deceased), Nanali (paternal grandmother, deceased), Chanda (paternal grandfather, presumably deceased), T�Chaka (father, deceased), S'Yan (uncle, deceased), N�Yami (mother, deceased), Ramonda (stepmother), Hunter (adopted brother), Jakarra (half-brother), Shuri (sister), Ororo Munroe (wife), Joshua Itobo, Ishanta, Zuni, M'Koni, T'Shan (cousins), Wheeler (cousin by marriage, deceased), Billy Wheeler (1st cousin once removed)",183.0,200.0
