id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg,BMI
14,Alan Scott,63.0,80.0,23.0,90.0,100.0,32.0,Alan Ladd Wellington Scott,No alter egos found.,"Green Lantern, White King, Sentinal",Gotham City,All-American Comics 16 (1940),04/18/1940,DC Comics,good,Male,Unknown,"[""5'11"", '180 cm']","['201 lb', '90 kg']",blue,blond,Unknown,Gotham City and New York City; Formerly Capitol City,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",180.0,201.0,62.037037037037
17,Alfred Pennyworth,63.0,10.0,17.0,10.0,7.0,55.0,Alfred Thaddeus Crane Pennyworth,No alter egos found.,Alfred Beagle,Unknown,"Batman #16 (April, 1943)",02/10/1943,DC Comics,good,Male,Human,"[""5'10"", '178 cm']","['160 lb', '72 kg']",blue,black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",178.0,160.0,50.4986744097967
20,Amazo,63.0,100.0,83.0,100.0,100.0,100.0,Unknown,No alter egos found.,"Professor Ivos Amazing Android, Timazo, Humazo, Hourmazo",Unknown,"Brave and the Bold #30 (July, 1960)",05/03/1960,DC Comics,bad,Male,Android,"[""8'5"", '257 cm']","['385 lb', '173 kg']",red,unknown,Unknown,Unknown,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)",257.0,385.0,58.2900573816409
21,Ammo,,,,,,,Unknown,No alter egos found.,Unknown,Unknown,"Daredevil #252 (March, 1988)",01/05/1988,Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",brown,black,"Gang leader , criminal , former soldier",New York City,former leader of the Wildboys,Unknown,188.0,225.0,63.6600271616116
25,Angel Dust,38.0,55.0,23.0,42.0,17.0,30.0,Christina,No alter egos found.,"Angel, Dusty",Unknown,Morlocks #1,06/05/2002,Marvel Comics,good,Female,Mutant,"[""5'5"", '165 cm']","['126 lb', '57 kg']",yellow,black,Unknown,"Chicago, Illinois",Unknown,Unknown,165.0,126.0,46.2809917355372
28,Animal Man,56.0,48.0,47.0,85.0,73.0,80.0,Bernhard Baker,No alter egos found.,The Human Zoo; A-Man; The Man with Animal Powers,Unknown,"Strange Adventures #180 (September, 1965)",07/29/1965,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['185 lb', '83 kg']",blue,blond,Unknown,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",183.0,185.0,55.2420197676849
29,Annihilus,75.0,80.0,47.0,56.0,59.0,64.0,Annihilus,No alter egos found.,"The Living Death That Walks, Lord of the Negative Zone","Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),11/01/1968,Marvel Comics,bad,Male,Unknown,"[""5'11"", '180 cm']","['200 lb', '90 kg']",green,no hair,"Conqueror, scavenger",Unknown,Sometime ally of Blastaar,Annihilus is a series of clonal scions,180.0,200.0,61.7283950617284
31,Ant-Man II,75.0,18.0,17.0,40.0,53.0,30.0,Scott Lang,No alter egos found.,"Myrmidon, Scott Edward Harris Lang","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",01/16/1979,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",blue,blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",183.0,190.0,56.73504732897369
32,Anti-Monitor,88.0,100.0,50.0,100.0,100.0,90.0,Unknown,No alter egos found.,"Monitor, Mobius",Moon of Qward,Crisis on Infinite Earths #4,04/04/1985,DC Comics,bad,Male,God / Eternal,"['200', '61.0 meters']","['- lb', '0 kg']",yellow,no hair,Unknown,"Qward, Antimatter Universe","Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors",,,
35,Apocalypse,100.0,100.0,33.0,100.0,100.0,60.0,En Sabah Nur,No alter egos found.,"The Eternal One, the High Lord, Set, Huitxilopochti, Sauru, Kali-Ma","Akkaba, Egypt","X-Factor #5 (June, 1986)",02/04/1986,Marvel Comics,bad,Male,Mutant,"[""7'0"", '213 cm']","['300 lb', '135 kg']",red,black,Student; formerly Conqueror; Scientist,"Celestial Ship, mobile","Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)",213.0,300.0,66.124446207763
36,Aquababy,10.0,16.0,12.0,14.0,37.0,14.0,"Arthur Curry, Jr.",No alter egos found.,Unknown,Unknown,"Aquaman #23 (October, 1965)",08/26/1965,DC Comics,good,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",blue,blond,Unknown,Atlantis,Aquaman Family,"Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",,,
37,Aqualad,63.0,44.0,42.0,75.0,89.0,60.0,Garth,No alter egos found.,Unknown,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",12/29/1959,DC Comics,good,Male,Atlantean,"[""5'10"", '178 cm']","['235 lb', '106 kg']",blue,black,"Adventurer; Magician, former Sidekick",Atlantis,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",178.0,235.0,74.169928039389
38,Aquaman,81.0,85.0,79.0,80.0,100.0,80.0,Orin,No alter egos found.,"Dweller in the Depths, Swimmer, Waterbearer, Mental Man, Aquaboy, Water Wraith",Atlantis,"More Fun Comics #73 (November, 1941)",09/25/1941,DC Comics,good,Male,Atlantean,"[""6'1"", '185 cm']","['325 lb', '146 kg']",blue,blond,"Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",185.0,325.0,94.9598246895544
39,Arachne,50.0,48.0,50.0,70.0,71.0,70.0,Julia Carpenter,No alter egos found.,"Spider-Woman, Madame Web","Los Angeles, California",Marvel Super Heroes Secret Wars #6,06/12/1984,Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['140 lb', '63 kg']",blue,blond,"Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",175.0,140.0,45.714285714285694
41,Arclight,38.0,63.0,23.0,42.0,52.0,70.0,Philippa Sontag,No alter egos found.,Unknown,Vietnam,Uncanny X-Men #210 (1986),08/05/1986,Marvel Comics,bad,Female,Unknown,"[""5'8"", '173 cm']","['126 lb', '57 kg']",violet,purple,Terrorist,Unknown,"Marauders formerly, 198, Femizons",Unknown,173.0,126.0,42.0996358047379
42,Ardina,63.0,100.0,100.0,80.0,100.0,25.0,Ardina,No alter egos found.,Unknown,Unknown,The Order #4,11/21/2007,Marvel Comics,good,Female,Alien,"[""6'4"", '193 cm']","['218 lb', '98 kg']",white,orange,Unknown,Unknown,Unknown,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",193.0,218.0,58.5250610754651
43,Ares,75.0,82.0,35.0,80.0,84.0,100.0,Unknown,No alter egos found.,"God of War, Mister Talon, Mars, Warhawk",Unknown,Thor #129,04/05/1966,Marvel Comics,good,Male,Unknown,"[""6'1"", '185 cm']","['600 lb', '270 kg']",brown,brown,Unknown,"Avengers Tower, formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",185.0,600.0,175.310445580716
44,Ariel,50.0,10.0,12.0,14.0,94.0,28.0,Ariel,No alter egos found.,Unknown,Unknown,Fallen Angels #1 (1987),04/07/1987,Marvel Comics,good,Female,Unknown,"[""5'5"", '165 cm']","['130 lb', '59 kg']",purple,pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",Unknown,"X-Men, Formerly Fallen Angels",Unknown,165.0,130.0,47.7502295684114
45,Armor,50.0,63.0,12.0,80.0,55.0,54.0,Hisako Ichiki,No alter egos found.,"X-Girl, Kid",Unknown,Astonishing X-Men #4 (2004),09/08/2004,Marvel Comics,good,Female,Unknown,"[""5'4"", '163 cm']","['112 lb', '50 kg']",black,black,"Adventurer, student",Unknown,"X-Men, formerly: Xavier Institute Student Body, New X-Men",Unknown,163.0,112.0,42.1543904550416
49,Atlas,63.0,100.0,42.0,100.0,27.0,80.0,Unknown,No alter egos found.,"Atlas the Great, Atlas the Untamed",Crystal Mountain,Action Comics #121,04/25/1948,DC Comics,bad,Male,God / Eternal,"[""6'6"", '198 cm']","['280 lb', '126 kg']",blue,brown,Unknown,"Formely; Hyssa, Metropolis",Unknown,Unknown,198.0,280.0,71.4212835424957
50,Atom,,,,,,,Albert Pratt,No alter egos found.,"Little Superman, the Mighty Mite",Unknown,All-American Comics #19,08/20/1940,DC Comics,good,Male,Unknown,"[""5'10"", '178 cm']","['150 lb', '68 kg']",blue,red,"Adventurer, Retired Professor of Nuclear Physics","GBS Building, Gotham City (former) Calvin College on Earth-Two",formerly Justice Society of America; formerly All-Star Squadron,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)",178.0,150.0,47.3425072591844
51,Atom,,,,,,,Unknown,No alter egos found.,Unknown,Unknown,Unknown,,DC Comics,good,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,,,
52,Atom Girl,38.0,10.0,23.0,28.0,38.0,42.0,Salu Digby,No alter egos found.,Shrinking Violet,Unknown,Teen Titans/Legion Special #1 (2004),12/15/2004,DC Comics,good,Female,Unknown,"[""5'6"", '168 cm']","['120 lb', '54 kg']",black,black,Unknown,"United Planets, 31st century",Legion of Super-Heroes,Unknown,168.0,120.0,42.5170068027211
53,Atom II,88.0,10.0,33.0,45.0,40.0,60.0,Ray Palmer,No alter egos found.,"The Mighty Mite, the Tiny Titan, the Worlds Smallest Hero",Unknown,Showcase #34,06/23/1961,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['180 lb', '81 kg']",brown,auburn,Physics Professor,Ivy Town,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",183.0,180.0,53.748992206396096
54,Atom III,,,,,,,Adam Cray,No alter egos found.,Unknown,Unknown,Suicide Squad (Volume 1) #44,08/06/1990,DC Comics,good,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,red,Unknown,Unknown,Suicide Squad,"Senator Cray (father, deceased)",,,
55,Atom IV,,,,,,,Ryan Choi,No alter egos found.,Unknown,Unknown,Brave New World #1,06/28/2006,DC Comics,good,Male,Unknown,"['-', '0 cm']","['160 lb', '72 kg']",brown,black,Professor of nuclear physics at Ivy University,Ivy Town,Lighter Than Air Society,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,,160.0,
56,Aurora,63.0,10.0,96.0,60.0,74.0,56.0,Jeanne-Marie Beaubier,No alter egos found.,Sister Beaubier,"Montreal, Quebec, Canada",X-Men #121 (1979),05/15/1979,Marvel Comics,good,Female,Mutant,"[""5'11"", '180 cm']","['140 lb', '63 kg']",blue,black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",180.0,140.0,43.2098765432099
57,Azazel,50.0,11.0,47.0,95.0,100.0,80.0,Unknown,No alter egos found.,"Semihazah, Duma, Keriel, Mastema, Beliar, Gadreel, Beelzebub, Satan","Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),05/28/2003,Marvel Comics,bad,Male,Neyaphem,"[""6'0"", '183 cm']","['149 lb', '67 kg']",yellow,black,Leader of the Neyaphem,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",Unknown,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",183.0,149.0,44.4922213264057
58,Azrael,63.0,18.0,17.0,20.0,35.0,80.0,Michael Washington Lane,No alter egos found.,Bat-Devil; Bat-Ghost,Gotham City,"Batman #672 (February, 2008)",12/26/2007,DC Comics,good,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",brown,black,"Former Police Officer, vigilante",Unknown,Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman,"Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",,,
60,Bane,88.0,38.0,23.0,56.0,51.0,95.0,Unknown,No alter egos found.,Unknown,Unknown,"Batman: Vengeance of Bane #1 (January, 1993)",01/01/1993,DC Comics,bad,Male,Human,"[""6'8"", '203 cm']","['400 lb', '180 kg']",unknown,unknown,Unknown,Santa Prisca,"Suicide Squad, The Secret Society of Super Villains",King Snake (father),203.0,400.0,97.066174864714
61,Banshee,50.0,10.0,58.0,40.0,63.0,70.0,Sean Cassidy,No alter egos found.,Death,"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",10/11/1966,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['170 lb', '77 kg']",green,strawberry blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",183.0,170.0,50.7629370838186
62,Bantam,25.0,53.0,23.0,54.0,21.0,56.0,Roberto Velasquez,No alter egos found.,Unknown,Unknown,"Civil War: Front Line #3 (September, 2006)",07/12/2006,Marvel Comics,good,Male,Unknown,"[""5'5"", '165 cm']","['119 lb', '54 kg']",brown,black,"Adventurer, boxing trainer, former boxer",Unknown,"Captain America, Pro-Registration forces",Unknown,165.0,119.0,43.7098255280074
66,Batgirl IV,69.0,12.0,27.0,56.0,46.0,100.0,Cassandra Cain,No alter egos found.,"Kasumi, various mundane persona,",League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,08/19/1999,DC Comics,good,Female,Human,"[""5'5"", '165 cm']","['115 lb', '52 kg']",green,black,Unknown,Gotham City; Bl�dhaven; Tibet; New York City,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",165.0,115.0,42.2405876951332
69,Batman,81.0,40.0,29.0,55.0,63.0,90.0,Terry McGinnis,No alter egos found.,"Batman II, The Tomorrow Knight, The second Dark Knight, The Dark Knight of Tomorrow, Batman Beyond","Gotham City, 25th Century",Batman Beyond #1,03/17/1999,DC Comics,good,Male,Human,"[""5'10"", '178 cm']","['170 lb', '77 kg']",blue,black,Unknown,21st Century Gotham City,"Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)",178.0,170.0,53.654841560409
70,Batman,100.0,26.0,27.0,50.0,47.0,100.0,Bruce Wayne,No alter egos found.,"Insider, Matches Malone","Crest Hill, Bristol Township; Gotham County",Detective Comics #27,05/30/1939,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['210 lb', '95 kg']",blue,black,Businessman,"Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower","Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family",188.0,210.0,59.4160253508375
72,Battlestar,50.0,53.0,35.0,74.0,48.0,74.0,Lemar Hoskins,No alter egos found.,Bucky,"Chicago, Illinois",Captain America #323 (1986); (as Bucky),11/19/1986,Marvel Comics,good,Male,Unknown,"[""6'6"", '198 cm']","['295 lb', '133 kg']",brown,black,"Former wrestler, federal operative",Unknown,"Formerly Wild Pack, Bold Urban Commandos (Buckies), former partner of U.S.Agent, operative of the Commission on Superhuman Activities",Unknown,198.0,295.0,75.2474237322722
73,Batwoman V,81.0,8.0,29.0,25.0,27.0,80.0,Katherine Rebecca Kane,No alter egos found.,Unknown,Unknown,"52 #7 (June, 2006)",06/14/2006,DC Comics,good,Female,Human,"[""5'10"", '178 cm']","['- lb', '0 kg']",green,red,Unknown,Gotham City,"Batman Family (unofficially), D.E.O, Unknowns","Jacob Kane (father), Gabi Kane (mother; deceased), Beth Kane (twin sister), Mary Elizabeth ""Bette"" Kane (cousin), Catherine Hamilton-Kane (stepmother), Philip Kane (uncle), Kane Family",178.0,,
74,Beak,,,,,,,Barnell Bohusk,No alter egos found.,Blackwing,"Cheverly, Maryland",Unknown,,Marvel Comics,good,Male,Unknown,"[""5'9"", '175 cm']","['140 lb', '63 kg']",black,white,Unknown,Unknown,"Formerly New Warriors, Exiles, Brotherhood Of Mutants, Xavier Institute Student Body","Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children",175.0,140.0,45.714285714285694
75,Beast,94.0,48.0,38.0,60.0,43.0,85.0,Henry Philip McCoy,No alter egos found.,"Dr. McCoy, Hanko, Kreature, Mutate #666, Magilla Gorilla, Golden Armed Boy","Dunfee, Illinois",X-Men Vol.1 #1,07/02/1963,Marvel Comics,good,Male,Mutant,"[""5'11"", '180 cm']","['402 lb', '181 kg']",blue,blue,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler","Xavier Institute, Salem Center, Westchester County, New York","Secret Avengers, S.W.O.R.D.; formerly X-Men (founding member); X-Club (founding member); Initiative; 198; X-Treme X-Men; Acolytes (while mind-controlled); Queen's Vengeance; X-Factor/X-Terminators (founding member); Rejects; Defenders, Avengers","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)",180.0,402.0,124.074074074074
76,Beast Boy,50.0,28.0,50.0,70.0,79.0,40.0,Garfield Mark Logan,No alter egos found.,"Changeling, Beast-Brat, Green Jeans, Salad-head, Sprout, Tork, Craig Logan",Unknown,"Doom Patrol #99 (November, 1965)",09/02/1965,DC Comics,good,Male,Human,"[""5'8"", '173 cm']","['150 lb', '68 kg']",green,green,"Adventurer, Struggling Actor","Prague; formerly Hollywood, California; formerly Manhattan, New York","Teen Titans; former member of the original Doom Patrol, Titans West","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton/Mento (adoptive father), Rita Farr/Elasti-Girl (adoptive mother), Matt Logan (cousin)",173.0,150.0,50.1186140532594
77,Beetle,,54.0,,,,,Unknown,No alter egos found.,Unknown,Unknown,Unknown,,Marvel Comics,bad,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,,,
